condition_code,condition_display,records,patients
110359009,Intellectual disability (disorder),3,3
128188000,Cerebral palsy (disorder),3,3
221360009,Spasticity (finding),3,3
275272006,Brain damage - traumatic,3,3
66857006,Hemoptysis (finding),3,3
69896004,Rheumatoid arthritis,3,3
109838007,Overlapping malignant neoplasm of colon,2,2
132281000119108,Acute deep venous thrombosis (disorder),2,2
185086009,Chronic obstructive bronchitis (disorder),2,2
195967001,Asthma,2,2
22253000,Pain (finding),2,2
235595009,Gastroesophageal reflux disease (disorder),2,2
235919008,Cholelithiasis,2,2
262574004,Bullet wound,2,2
267060006,Diarrhea symptom (finding),2,2
403192003,Third degree burn,2,2
65275009,Acute Cholecystitis,2,2
65710008,Acute respiratory failure (disorder),2,2
67782005,Acute respiratory distress syndrome (disorder),2,2
7200002,Alcoholism,2,2
76571007,Septic shock (disorder),2,2
84757009,Epilepsy (disorder),2,2
94260004,Secondary malignant neoplasm of colon,2,2
95417003,Primary fibromyalgia syndrome,2,2
97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder),2,2
1501000119109,Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder),1,1
157265008,Dislocation of hip joint (disorder),1,1
225444004,At risk for suicide (finding),1,1
230265002,Familial Alzheimer's disease of early onset (disorder),1,1
239720000,Tear of meniscus of knee,1,1
249497008,Vomiting symptom (finding),1,1
27942005,Shock (disorder),1,1
314994000,Metastasis from malignant tumor of prostate (disorder),1,1
398152000,Poor muscle tone (finding),1,1
40095003,Injury of kidney (disorder),1,1
422587007,Nausea (finding),1,1
431856006,Chronic kidney disease stage 2 (disorder),1,1
444470001,Injury of anterior cruciate ligament,1,1
45816000,Pyelonephritis,1,1
68235000,Nasal congestion (finding),1,1
698754002,Chronic paralysis due to lesion of spinal cord,1,1
76916001,Spina bifida occulta (disorder),1,1
83664006,Idiopathic atrophic hypothyroidism,1,1
90781000119102,Microalbuminuria due to type 2 diabetes mellitus (disorder),1,1
